Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,11.037616711240759
1,SBJ-Mismatch,"While she was taking the orders,",Michael,12.891329749180917
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,12.673217786901397
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,13.76317732946969
2,SBJ-Match,"After he had read the report,",Michael,10.525745465487446
2,SBJ-Mismatch,"After she had read the report,",Michael,11.156861692180863
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,11.539518106104326
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.118212196889516
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.846967579314816
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,11.772318842927012
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,12.236148691121672
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,13.363058150421198
4,SBJ-Match,"While he was moving into the building,",Michael,10.357718324115307
4,SBJ-Mismatch,"While she was moving into the building,",Michael,11.329801385937131
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,12.117397620735895
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,12.63129932409044
5,SBJ-Match,"When he got caught stealing,",Michael,10.211402829070629
5,SBJ-Mismatch,"When she got caught stealing,",Michael,11.083945341967176
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,13.700664097705813
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,14.42992206962902
6,SBJ-Match,"While he prepared the presentation,",Michael,10.096580655629468
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,11.007785383598332
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,14.608234337545232
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,15.141637135322117
7,SBJ-Match,"After he turned up the volume,",Michael,10.60231192059538
7,SBJ-Mismatch,"After she turned up the volume,",Michael,11.088409330334585
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,10.949261537680279
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,11.108122219908038
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,12.350998908796827
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,13.439569083885136
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,15.212797867933284
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,15.94977336151797
9,SBJ-Match,"While he struggled through the script,",Jonathan,12.210454614395115
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,13.38600061211679
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,12.829909446091577
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,13.586389630460907
10,SBJ-Match,"When he was off duty,",Jonathan,11.863436714662624
10,SBJ-Mismatch,"When she was off duty,",Jonathan,13.621610807129528
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.782092430101201
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,14.582113113131303
