Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.396345699482657
1,SBJ-Mismatch,"While she was taking the orders,",Michael,11.093321486053147
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,11.496763114308775
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,12.414370360868052
2,SBJ-Match,"After he had read the report,",Michael,10.657988016666456
2,SBJ-Mismatch,"After she had read the report,",Michael,11.404540922277803
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,12.013007466140252
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.672528766370773
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.9099491394466
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,11.841062318723273
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,11.359219660025003
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,12.567434907278132
4,SBJ-Match,"While he was moving into the building,",Michael,10.080801319006342
4,SBJ-Mismatch,"While she was moving into the building,",Michael,11.144127890406505
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,11.29240821472476
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,12.706378068900866
5,SBJ-Match,"When he got caught stealing,",Michael,10.265985893441671
5,SBJ-Mismatch,"When she got caught stealing,",Michael,10.938359351706524
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,11.528215402975214
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,12.950320094262455
6,SBJ-Match,"While he prepared the presentation,",Michael,10.263195115373577
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,11.321411787878475
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,12.260671683362963
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,13.2729789640191
7,SBJ-Match,"After he turned up the volume,",Michael,10.166002770132454
7,SBJ-Mismatch,"After she turned up the volume,",Michael,10.486268308466528
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,11.92840556081341
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,11.84896146685738
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,13.066659987478214
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,13.592061409153393
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,15.600936214303685
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,15.893009346810596
9,SBJ-Match,"While he struggled through the script,",Jonathan,11.819161620579372
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,12.498578373639416
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,13.025935222231436
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,13.443125166648862
10,SBJ-Match,"When he was off duty,",Jonathan,12.054743359869528
10,SBJ-Mismatch,"When she was off duty,",Jonathan,12.784220703937086
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.429588824519813
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,13.558783594933635
11,SBJ-Match,"After he got up to dance,",Jonathan,12.489376099416441
11,SBJ-Mismatch,"After she got up to dance,",Jonathan,12.964704857882607
11,OBJ-Match,"After he got up to dance, several guests teased",Jonathan,15.023695651642031
11,OBJ-Mismatch,"After she got up to dance, several guests teased",Jonathan,15.77196447878881
12,SBJ-Match,"After he posted the video,",Jonathan,12.77652940473112
12,SBJ-Mismatch,"After she posted the video,",Jonathan,12.912073648922263
12,OBJ-Match,"After he posted the video, a few mean commentors humiliated",Jonathan,14.303046477780036
12,OBJ-Mismatch,"After she posted the video, a few mean commentors humiliated",Jonathan,15.6568484495287
13,SBJ-Match,"While he weighed the jewellery,",Jonathan,13.19174250055692
13,SBJ-Mismatch,"While she weighed the jewellery,",Jonathan,13.727511878957907
13,OBJ-Match,"While he weighed the jewellery, a few customers asked",Jonathan,16.5132133328587
13,OBJ-Mismatch,"While she weighed the jewellery, a few customers asked",Jonathan,16.639580197071048
14,SBJ-Match,"When he arrived at football practice,",Jonathan,12.304417938136565
14,SBJ-Mismatch,"When she arrived at football practice,",Jonathan,12.828009475726638
14,OBJ-Match,"When he arrived at football practice, some of the players waved to",Jonathan,16.61485972671918
14,OBJ-Mismatch,"When she arrived at football practice, some of the players waved to",Jonathan,17.433278500476106
15,SBJ-Match,"After she put out the campfire,",Jessica,10.131436171532167
15,SBJ-Mismatch,"After he put out the campfire,",Jessica,12.487664490861071
15,OBJ-Match,"After she put out the campfire, some of the schoolboys dared",Jessica,12.837959551312974
15,OBJ-Mismatch,"After he put out the campfire, some of the schoolboys dared",Jessica,15.023024894715334
16,SBJ-Match,"After she had resigned,",Jessica,13.569613810238932
16,SBJ-Mismatch,"After he had resigned,",Jessica,16.561330973044125
16,OBJ-Match,"After she had resigned, multiple lobbyists discouraged",Jessica,14.58294779850669
16,OBJ-Mismatch,"After he had resigned, multiple lobbyists discouraged",Jessica,16.289156054047464
17,SBJ-Match,"As soon as she got back to school,",Jessica,9.485393204953786
17,SBJ-Mismatch,"As soon as he got back to school,",Jessica,13.37008147090571
17,OBJ-Match,"As soon as she got back to school, some students accused",Jessica,12.33572199954597
17,OBJ-Mismatch,"As soon as he got back to school, some students accused",Jessica,15.727049066705105
18,SBJ-Match,"When she came back from lunch,",Jessica,11.161016558782485
18,SBJ-Mismatch,"When he came back from lunch,",Jessica,13.56694094814326
18,OBJ-Match,"When she came back from lunch, some of the interns avoided",Jessica,13.827373045802977
18,OBJ-Mismatch,"When he came back from lunch, some of the interns avoided",Jessica,15.788851825535325
19,SBJ-Match,"As she was leaving the concert hall,",Jessica,11.570351270881632
19,SBJ-Mismatch,"As he was leaving the concert hall,",Jessica,13.46522574639272
19,OBJ-Match,"As she was leaving the concert hall, countless journalists questioned",Jessica,15.174177956335567
19,OBJ-Mismatch,"As he was leaving the concert hall, countless journalists questioned",Jessica,16.90868746023411
20,SBJ-Match,"While she waited for the bus,",Jessica,9.92401464280843
20,SBJ-Mismatch,"While he waited for the bus,",Jessica,12.701700213533954
20,OBJ-Match,"While she waited for the bus, various commuters warned",Jessica,13.386460730406478
20,OBJ-Mismatch,"While he waited for the bus, various commuters warned",Jessica,15.448154822395606
21,SBJ-Match,"When she entered the church,",Jessica,11.475225881215795
21,SBJ-Mismatch,"When he entered the church,",Jessica,14.345364517719762
21,OBJ-Match,"When she entered the church, a handful of churchgoers criticized",Jessica,14.513716364051083
21,OBJ-Mismatch,"When he entered the church, a handful of churchgoers criticized",Jessica,16.78450802904208
22,SBJ-Match,"After she heard the verdict,",Rachel,10.22339157081767
22,SBJ-Mismatch,"After he heard the verdict,",Rachel,13.765511296719108
22,OBJ-Match,"After she heard the verdict, a number of supporters consoled",Rachel,12.28621170759616
22,OBJ-Mismatch,"After he heard the verdict, a number of supporters consoled",Rachel,14.612618034196224
23,SBJ-Match,"After she had finished cooking,",Rachel,11.11029700954647
23,SBJ-Mismatch,"After he had finished cooking,",Rachel,14.235199057513041
23,OBJ-Match,"After she had finished cooking, a few friends helped",Rachel,12.009734307785019
23,OBJ-Mismatch,"After he had finished cooking, a few friends helped",Rachel,14.59561083796637
24,SBJ-Match,"After she had spoken,",Rachel,12.125154633110133
24,SBJ-Mismatch,"After he had spoken,",Rachel,13.965349958147636
24,OBJ-Match,"After she had spoken, seven guards escorted",Rachel,12.906886489528572
24,OBJ-Mismatch,"After he had spoken, seven guards escorted",Rachel,15.140458483909336
25,SBJ-Match,"While she waited backstage,",Rachel,10.12391009027305
25,SBJ-Mismatch,"While he waited backstage,",Rachel,12.642101454211765
25,OBJ-Match,"While she waited backstage, several models congratulated",Rachel,11.853416098223127
25,OBJ-Mismatch,"While he waited backstage, several models congratulated",Rachel,14.389280838118802
26,SBJ-Match,"While she was mowing the lawn,",Rachel,10.603978277176015
26,SBJ-Mismatch,"While he was mowing the lawn,",Rachel,13.171149758168015
26,OBJ-Match,"While she was mowing the lawn, a number of neighbors waved at",Rachel,14.349615666848923
26,OBJ-Mismatch,"While he was mowing the lawn, a number of neighbors waved at",Rachel,16.818056146888335
27,SBJ-Match,"After she was elected,",Rachel,11.539885115401995
27,SBJ-Mismatch,"After he was elected,",Rachel,14.32803756120306
27,OBJ-Match,"After she was elected, many other politicians convinced",Rachel,15.730296297047365
27,OBJ-Mismatch,"After he was elected, many other politicians convinced",Rachel,17.256975505365453
28,SBJ-Match,"When she got to the construction site,",Rachel,10.94851770745619
28,SBJ-Mismatch,"When he got to the construction site,",Rachel,14.687127290158747
28,OBJ-Match,"When she got to the construction site, a lot of workers approached",Rachel,12.905294705688162
28,OBJ-Mismatch,"When he got to the construction site, a lot of workers approached",Rachel,16.172001659490192
