Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.396362450100241
1,SBJ-Mismatch,"While she was taking the orders,",Michael,11.093316257021405
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,11.496808131244187
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,12.414375059561534
2,SBJ-Match,"After he had read the report,",Michael,10.657972684451176
2,SBJ-Mismatch,"After she had read the report,",Michael,11.404554695039668
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,12.013015882868041
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.67254452818438
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.909953017273812
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,11.841058159590666
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,11.359213262417883
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,12.567481164884716
4,SBJ-Match,"While he was moving into the building,",Michael,10.080804502080722
4,SBJ-Mismatch,"While she was moving into the building,",Michael,11.144158394005633
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,11.292413585652026
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,12.706404728477214
5,SBJ-Match,"When he got caught stealing,",Michael,10.265980309803151
5,SBJ-Mismatch,"When she got caught stealing,",Michael,10.938397583325909
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,11.528231772637454
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,12.950360638153459
6,SBJ-Match,"While he prepared the presentation,",Michael,10.26319697299432
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,11.321403514198622
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,12.260701662707968
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,13.273020006421348
7,SBJ-Match,"After he turned up the volume,",Michael,10.166037695443569
7,SBJ-Mismatch,"After she turned up the volume,",Michael,10.486292159366442
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,11.928420126292158
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,11.848999105109618
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,13.066654493963313
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,13.592095630095699
