Item,Condition,Context,Target,Surprisal
1,Constraint-Match,"Before offering him a fancy pastry,",Michael,10.50576074989622
1,Constraint-Mismatch,"Before offering her a fancy pastry,",Michael,11.562397381521166
1,NoConstraint-Match,"Before anyone offered him a fancy pastry,",Michael,10.155003142002885
1,NoConstraint-Mismatch,"Before anyone offered her a fancy pastry,",Michael,11.717369380047161
2,Constraint-Match,"While driving him to school on Friday,",Michael,9.202051185830566
2,Constraint-Mismatch,"While driving her to school on Friday,",Michael,10.293359391194437
2,NoConstraint-Match,"While a parent drove him to school on Friday,",Michael,9.035928875800398
2,NoConstraint-Mismatch,"While a parent drove her to school on Friday,",Michael,10.959198094833054
3,Constraint-Match,"While baking him some cookies,",Michael,10.250148674639778
3,Constraint-Mismatch,"While baking her some cookies,",Michael,12.043016846603127
3,NoConstraint-Match,"While an employee baked him some cookies,",Michael,9.749683508496442
3,NoConstraint-Mismatch,"While an employee baked her some cookies,",Michael,10.881659283998424
4,Constraint-Match,"After lifting him onto the bus,",Michael,9.902460338437528
4,Constraint-Mismatch,"After lifting her onto the bus,",Michael,11.528201389699795
4,NoConstraint-Match,"After an orderly lifted him onto the bus,",Michael,10.517559078580808
4,NoConstraint-Mismatch,"After an orderly lifted her onto the bus,",Michael,11.742201435777599
5,Constraint-Match,"Before interrogating him about the crime,",Michael,10.16605371120048
5,Constraint-Mismatch,"Before interrogating her about the crime,",Michael,9.957645931715787
5,NoConstraint-Match,"Before an officer interrogated him about the crime,",Michael,9.569150999551185
5,NoConstraint-Mismatch,"Before an officer interrogated her about the crime,",Michael,10.894240761364015
6,Constraint-Match,"After embarassing him during the party,",Michael,10.500292283363413
6,Constraint-Mismatch,"After embarassing her during the party,",Michael,9.807192944991565
6,NoConstraint-Match,"After a guest embarassed him during the party,",Michael,9.952914040307157
6,NoConstraint-Mismatch,"After a guest embarassed her during the party,",Michael,10.979262466093939
7,Constraint-Match,"While helping him shred the documents,",Jonathan,13.407987070680552
7,Constraint-Mismatch,"While helping her shred the documents,",Jonathan,12.918044790402496
7,NoConstraint-Match,"While an intern helped him shred the documents,",Jonathan,12.345243365037676
