Item,Condition,Context,Target,Surprisal
1,Constraint-Match,"Before offering him a fancy pastry,",Michael,10.541268489328115
1,Constraint-Mismatch,"Before offering her a fancy pastry,",Michael,12.496849751924735
1,NoConstraint-Match,"Before anyone offered him a fancy pastry,",Michael,7.282438513309768
1,NoConstraint-Mismatch,"Before anyone offered her a fancy pastry,",Michael,12.722827125736135
2,Constraint-Match,"While driving him to school on Friday,",Michael,9.208871399680259
2,Constraint-Mismatch,"While driving her to school on Friday,",Michael,10.816021978684805
2,NoConstraint-Match,"While a parent drove him to school on Friday,",Michael,7.8956771948541755
2,NoConstraint-Mismatch,"While a parent drove her to school on Friday,",Michael,11.519617165246562
3,Constraint-Match,"While baking him some cookies,",Michael,9.912891526995002
3,Constraint-Mismatch,"While baking her some cookies,",Michael,13.628364915361399
3,NoConstraint-Match,"While an employee baked him some cookies,",Michael,8.170824181168715
3,NoConstraint-Mismatch,"While an employee baked her some cookies,",Michael,11.100596514651109
4,Constraint-Match,"After lifting him onto the bus,",Michael,9.37206274367415
4,Constraint-Mismatch,"After lifting her onto the bus,",Michael,10.32186895556544
4,NoConstraint-Match,"After an orderly lifted him onto the bus,",Michael,9.084679961613245
4,NoConstraint-Mismatch,"After an orderly lifted her onto the bus,",Michael,11.12562663269341
5,Constraint-Match,"Before interrogating him about the crime,",Michael,12.261402285327772
5,Constraint-Mismatch,"Before interrogating her about the crime,",Michael,11.482096137621262
5,NoConstraint-Match,"Before an officer interrogated him about the crime,",Michael,7.627033208602771
5,NoConstraint-Mismatch,"Before an officer interrogated her about the crime,",Michael,11.71667591032093
6,Constraint-Match,"After embarassing him during the party,",Michael,8.939768823538667
6,Constraint-Mismatch,"After embarassing her during the party,",Michael,9.387326181754014
6,NoConstraint-Match,"After a guest embarassed him during the party,",Michael,8.385889032501526
6,NoConstraint-Mismatch,"After a guest embarassed her during the party,",Michael,11.784881785406645
7,Constraint-Match,"While helping him shred the documents,",Jonathan,11.044315864000273
7,Constraint-Mismatch,"While helping her shred the documents,",Jonathan,14.029329367867863
7,NoConstraint-Match,"While an intern helped him shred the documents,",Jonathan,11.700292529998332
7,NoConstraint-Mismatch,"While an intern helped her shred the documents,",Jonathan,14.543089158798116
8,Constraint-Match,"While reading him a bedtime story,",Jonathan,10.799700773053917
8,Constraint-Mismatch,"While reading her a bedtime story,",Jonathan,12.70473552675222
8,NoConstraint-Match,"While someone read him a bedtime story,",Jonathan,10.726749905066713
8,NoConstraint-Mismatch,"While someone read her a bedtime story,",Jonathan,14.098640222860835
9,Constraint-Match,"After cornerning him next to the watercooler,",Jonathan,12.15162587015743
9,Constraint-Mismatch,"After cornerning her next to the watercooler,",Jonathan,13.43106428154159
9,NoConstraint-Match,"After a colleague cornerned him next to the watercooler,",Jonathan,9.94813755763192
9,NoConstraint-Mismatch,"After a colleague cornerned her next to the watercooler,",Jonathan,14.297111846042293
10,Constraint-Match,"After weighing him on the scale,",Jonathan,12.227154877026154
10,Constraint-Mismatch,"After weighing her on the scale,",Jonathan,12.622953142241094
10,NoConstraint-Match,"After a nurse weighed him on the scale,",Jonathan,11.083894120346589
10,NoConstraint-Mismatch,"After a nurse weighed her on the scale,",Jonathan,12.937765408631327
11,Constraint-Match,"Before spotting him at yoga class,",Jonathan,11.658778185508838
11,Constraint-Mismatch,"Before spotting her at yoga class,",Jonathan,13.052548279484903
11,NoConstraint-Match,"Before anyone spotted him at yoga class,",Jonathan,9.46698592218486
11,NoConstraint-Mismatch,"Before anyone spotted her at yoga class,",Jonathan,13.663842297763603
12,Constraint-Match,"Before visiting him on Sunday afternoons,",Jonathan,12.266690535918082
12,Constraint-Mismatch,"Before visiting her on Sunday afternoons,",Jonathan,12.334382594163923
12,NoConstraint-Match,"Before friends visited him on Sunday afternoons,",Jonathan,9.691984893499301
12,NoConstraint-Mismatch,"Before friends visited her on Sunday afternoons,",Jonathan,15.00582605135369
13,Constraint-Match,"After having her in multiple classes,",Jessica,10.934189622926004
13,Constraint-Mismatch,"After having him in multiple classes,",Jessica,12.960108212527459
13,NoConstraint-Match,"After a professor had her in multiple classes,",Jessica,9.884613539356575
13,NoConstraint-Mismatch,"After a professor had him in multiple classes,",Jessica,11.79833730585318
14,Constraint-Match,"After buying her a pumpkin-spice latte,",Jessica,9.837459768964885
14,Constraint-Mismatch,"After buying him a pumpkin-spice latte,",Jessica,10.45651381135438
14,NoConstraint-Match,"After a stranger bought her a pumpkin-spice latte,",Jessica,7.809045491246427
14,NoConstraint-Mismatch,"After a stranger bought him a pumpkin-spice latte,",Jessica,14.32728041560415
15,Constraint-Match,"While writing her a reminder note,",Jessica,8.635112596662086
15,Constraint-Mismatch,"While writing him a reminder note,",Jessica,10.820224972538801
15,NoConstraint-Match,"While someone wrote her a reminder note,",Jessica,9.866243336090447
15,NoConstraint-Mismatch,"While someone wrote him a reminder note,",Jessica,13.372503853928178
16,Constraint-Match,"After pouring her some hot tea,",Jessica,9.942603639445096
16,Constraint-Mismatch,"After pouring him some hot tea,",Jessica,11.542504265552829
16,NoConstraint-Match,"After a waiter poured her some hot tea,",Jessica,9.86686688325906
16,NoConstraint-Mismatch,"After a waiter poured him some hot tea,",Jessica,16.66847452141842
17,Constraint-Match,"After leaving her a voice message,",Jessica,9.05981690061411
17,Constraint-Mismatch,"After leaving him a voice message,",Jessica,8.954097724700741
17,NoConstraint-Match,"After a volunteer left her a voice message,",Jessica,9.129310660733706
17,NoConstraint-Mismatch,"After a volunteer left him a voice message,",Jessica,12.93283007502157
18,Constraint-Match,"After sending her a thank-you note,",Jessica,5.989536090838131
18,Constraint-Mismatch,"After sending him a thank-you note,",Jessica,8.45212302424898
18,NoConstraint-Match,"After someone sent her a thank-you note,",Jessica,9.306527080341285
18,NoConstraint-Mismatch,"After someone sent him a thank-you note,",Jessica,14.487780126657146
19,Constraint-Match,"Before taking her on the rollercoaster,",Rachel,9.723524837143332
19,Constraint-Mismatch,"Before taking him on the rollercoaster,",Rachel,11.651223227198262
19,NoConstraint-Match,"Before a chaperone took her kids on the rollercoaster,",Rachel,10.763784302999163
19,NoConstraint-Mismatch,"Before a chaperone took his kids on the rollercoaster,",Rachel,14.655469207247075
20,Constraint-Match,"After taking her to a social event,",Rachel,10.768843873121641
20,Constraint-Mismatch,"After taking him to a social event,",Rachel,10.057292573787128
20,NoConstraint-Match,"After the roommates took her to a social event,",Rachel,9.001009203129737
20,NoConstraint-Mismatch,"After the roommates took him to a social event,",Rachel,13.95916933898633
21,Constraint-Match,"Before showing her any new paintings,",Rachel,9.875547178230716
21,Constraint-Mismatch,"Before showing him any new paintings,",Rachel,11.858469078452694
21,NoConstraint-Match,"Before auctioneers showed her any new paintings,",Rachel,9.579740851376448
21,NoConstraint-Mismatch,"Before auctioneers showed him any new paintings,",Rachel,15.57230314086742
22,Constraint-Match,"After nominating her for class president,",Rachel,8.338719336321946
22,Constraint-Mismatch,"After nominating him for class president,",Rachel,8.381885186191605
22,NoConstraint-Match,"After a student nominated her for class president,",Rachel,8.030785997950161
22,NoConstraint-Mismatch,"After a student nominated him for class president,",Rachel,14.551625792418436
23,Constraint-Match,"After watching her on the Voice,",Rachel,10.758837137641132
23,Constraint-Mismatch,"After watching him on the Voice,",Rachel,11.749772577375074
23,NoConstraint-Match,"After everyone watched her on the Voice,",Rachel,9.681448502034657
23,NoConstraint-Mismatch,"After everyone watched him on the Voice,",Rachel,11.87671040172411
24,Constraint-Match,"Before sending her the secret contract,",Rachel,9.753139970373729
24,Constraint-Mismatch,"Before sending him the secret contract,",Rachel,11.278195603763766
24,NoConstraint-Match,"Before a secretary sent her the secret contract,",Rachel,12.398080987426535
24,NoConstraint-Mismatch,"Before a secretary sent him the secret contract,",Rachel,12.403244367499331
