Item,Condition,Context,Target,Surprisal
1,Constraint-Match,"Before offering him a fancy pastry,",Michael,10.505765877965237
1,Constraint-Mismatch,"Before offering her a fancy pastry,",Michael,11.56238049258776
1,NoConstraint-Match,"Before anyone offered him a fancy pastry,",Michael,10.154991461183446
1,NoConstraint-Mismatch,"Before anyone offered her a fancy pastry,",Michael,11.717335306585435
2,Constraint-Match,"While driving him to school on Friday,",Michael,9.202048515029919
2,Constraint-Mismatch,"While driving her to school on Friday,",Michael,10.293343900188429
2,NoConstraint-Match,"While a parent drove him to school on Friday,",Michael,9.035893524176839
2,NoConstraint-Mismatch,"While a parent drove her to school on Friday,",Michael,10.959205451071957
3,Constraint-Match,"While baking him some cookies,",Michael,10.250111243560562
3,Constraint-Mismatch,"While baking her some cookies,",Michael,12.042979549037556
3,NoConstraint-Match,"While an employee baked him some cookies,",Michael,9.749672953620388
3,NoConstraint-Mismatch,"While an employee baked her some cookies,",Michael,10.88166070994501
4,Constraint-Match,"After lifting him onto the bus,",Michael,9.902451497799001
4,Constraint-Mismatch,"After lifting her onto the bus,",Michael,11.528189484723192
4,NoConstraint-Match,"After an orderly lifted him onto the bus,",Michael,10.517542829569695
4,NoConstraint-Mismatch,"After an orderly lifted her onto the bus,",Michael,11.74217353109623
5,Constraint-Match,"Before interrogating him about the crime,",Michael,10.1660377919235
5,Constraint-Mismatch,"Before interrogating her about the crime,",Michael,9.957633573247335
5,NoConstraint-Match,"Before an officer interrogated him about the crime,",Michael,9.569129183356896
5,NoConstraint-Mismatch,"Before an officer interrogated her about the crime,",Michael,10.894211353645535
6,Constraint-Match,"After embarassing him during the party,",Michael,10.500260901942106
6,Constraint-Mismatch,"After embarassing her during the party,",Michael,9.807167817066935
6,NoConstraint-Match,"After a guest embarassed him during the party,",Michael,9.952902388141812
6,NoConstraint-Mismatch,"After a guest embarassed her during the party,",Michael,10.979237376134575
7,Constraint-Match,"While helping him shred the documents,",Jonathan,13.407984674663396
7,Constraint-Mismatch,"While helping her shred the documents,",Jonathan,12.918036666168122
7,NoConstraint-Match,"While an intern helped him shred the documents,",Jonathan,12.345241944913273
7,NoConstraint-Mismatch,"While an intern helped her shred the documents,",Jonathan,12.53640802792509
8,Constraint-Match,"While reading him a bedtime story,",Jonathan,12.814431276221667
8,Constraint-Mismatch,"While reading her a bedtime story,",Jonathan,13.258550089809097
8,NoConstraint-Match,"While someone read him a bedtime story,",Jonathan,12.762524949851183
8,NoConstraint-Mismatch,"While someone read her a bedtime story,",Jonathan,13.795655279641409
9,Constraint-Match,"After cornerning him next to the watercooler,",Jonathan,11.459494479665656
9,Constraint-Mismatch,"After cornerning her next to the watercooler,",Jonathan,12.622036496958444
9,NoConstraint-Match,"After a colleague cornerned him next to the watercooler,",Jonathan,11.837943411723904
9,NoConstraint-Mismatch,"After a colleague cornerned her next to the watercooler,",Jonathan,12.896553701082928
10,Constraint-Match,"After weighing him on the scale,",Jonathan,13.110872815005143
