Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,11.037608679335356
1,SBJ-Mismatch,"While she was taking the orders,",Michael,12.891324645061301
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,12.673190499488669
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,13.763158064650257
2,SBJ-Match,"After he had read the report,",Michael,10.52573593293752
2,SBJ-Mismatch,"After she had read the report,",Michael,11.156848078956168
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,11.539490234212739
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.118177290381224
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.846956288157708
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,11.772303568081687
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,12.236106658715453
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,13.363014354402711
4,SBJ-Match,"While he was moving into the building,",Michael,10.357706864495668
4,SBJ-Mismatch,"While she was moving into the building,",Michael,11.329788740940694
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,12.117374114025816
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,12.631275881596352
5,SBJ-Match,"When he got caught stealing,",Michael,10.211392275546375
5,SBJ-Mismatch,"When she got caught stealing,",Michael,11.083932764247761
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,13.700631394789092
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,14.42989079204941
6,SBJ-Match,"While he prepared the presentation,",Michael,10.096577989225704
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,11.007781493055463
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,14.608214281752389
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,15.141613325189905
7,SBJ-Match,"After he turned up the volume,",Michael,10.602308656911283
7,SBJ-Mismatch,"After she turned up the volume,",Michael,11.08839826786197
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,10.949242277252448
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,11.108104702822851
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,12.3509888185416
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,13.439557421795715
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,15.212764981091103
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,15.949737152565772
9,SBJ-Match,"While he struggled through the script,",Jonathan,12.210449639578796
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,13.385992071982251
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,12.829892326329457
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,13.586370779845653
10,SBJ-Match,"When he was off duty,",Jonathan,11.86342466807884
10,SBJ-Mismatch,"When she was off duty,",Jonathan,13.62159678280684
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.78207365039394
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,14.582081316558037
11,SBJ-Match,"After he got up to dance,",Jonathan,12.66727652569815
11,SBJ-Mismatch,"After she got up to dance,",Jonathan,13.198231459009373
11,OBJ-Match,"After he got up to dance, several guests teased",Jonathan,13.194514806795695
11,OBJ-Mismatch,"After she got up to dance, several guests teased",Jonathan,13.976866987763655
12,SBJ-Match,"After he posted the video,",Jonathan,12.023673972795907
12,SBJ-Mismatch,"After she posted the video,",Jonathan,12.880311919188795
12,OBJ-Match,"After he posted the video, a few mean commentors humiliated",Jonathan,14.204210810356276
12,OBJ-Mismatch,"After she posted the video, a few mean commentors humiliated",Jonathan,16.191313564106192
13,SBJ-Match,"While he weighed the jewellery,",Jonathan,12.744289776578675
13,SBJ-Mismatch,"While she weighed the jewellery,",Jonathan,13.934670813640226
13,OBJ-Match,"While he weighed the jewellery, a few customers asked",Jonathan,14.999821665013716
13,OBJ-Mismatch,"While she weighed the jewellery, a few customers asked",Jonathan,16.47185307153918
14,SBJ-Match,"When he arrived at football practice,",Jonathan,12.746168957830895
14,SBJ-Mismatch,"When she arrived at football practice,",Jonathan,13.639017257052222
14,OBJ-Match,"When he arrived at football practice, some of the players waved to",Jonathan,14.57357488638783
14,OBJ-Mismatch,"When she arrived at football practice, some of the players waved to",Jonathan,16.869069406602314
15,SBJ-Match,"After she put out the campfire,",Jessica,11.016467492925214
15,SBJ-Mismatch,"After he put out the campfire,",Jessica,12.760730567853285
15,OBJ-Match,"After she put out the campfire, some of the schoolboys dared",Jessica,14.872853114096152
15,OBJ-Mismatch,"After he put out the campfire, some of the schoolboys dared",Jessica,16.982076665184415
16,SBJ-Match,"After she had resigned,",Jessica,12.804582582917082
16,SBJ-Mismatch,"After he had resigned,",Jessica,14.70464344942887
16,OBJ-Match,"After she had resigned, multiple lobbyists discouraged",Jessica,15.266257242955378
16,OBJ-Mismatch,"After he had resigned, multiple lobbyists discouraged",Jessica,16.283027352873535
17,SBJ-Match,"As soon as she got back to school,",Jessica,9.74912796428039
17,SBJ-Mismatch,"As soon as he got back to school,",Jessica,12.133327119959283
