Item,Type,DistNum,TargetNum,Context,Target,Surprisal
1,Verbal,SG,SG,The tall nurse who cared for the elderly widow definitely {} reluctant to work long shifts.,was,1.1046646357606635
1,Verbal,SG,PL,The tall nurse who cared for the elderly widow definitely {} reluctant to work long shifts.,were,12.453763984752163
1,Verbal,PL,SG,The tall nurse who cared for the elderly widows definitely {} reluctant to work long shifts.,was,1.1318406008518873
1,Verbal,PL,PL,The tall nurse who cared for the elderly widows definitely {} reluctant to work long shifts.,were,10.783809661946183
1,Reflexive,SG,SG,The tall nurse who cared for the elderly widow definitely pricked {} with a used syringe.,herself,4.7321890387876
1,Reflexive,SG,PL,The tall nurse who cared for the elderly widow definitely pricked {} with a used syringe.,themselves,12.083916358691576
1,Reflexive,PL,SG,The tall nurse who cared for the elderly widows definitely pricked {} with a used syringe.,herself,5.274107691793765
1,Reflexive,PL,PL,The tall nurse who cared for the elderly widows definitely pricked {} with a used syringe.,themselves,8.271685428018518
2,Verbal,SG,SG,The legendary diva who sang with the graceful harpist clearly {} flawless on the high notes.,was,0.4317087971955295
2,Verbal,SG,PL,The legendary diva who sang with the graceful harpist clearly {} flawless on the high notes.,were,9.979903594755237
2,Verbal,PL,SG,The legendary diva who sang with the graceful harpists clearly {} flawless on the high notes.,was,0.4665310023548415
2,Verbal,PL,PL,The legendary diva who sang with the graceful harpists clearly {} flawless on the high notes.,were,9.475643971858478
2,Reflexive,SG,SG,The legendary diva who sang with the graceful harpist clearly presented {} with lots of fanfare.,herself,0.2683840983848177
2,Reflexive,SG,PL,The legendary diva who sang with the graceful harpist clearly presented {} with lots of fanfare.,themselves,8.809394766330167
2,Reflexive,PL,SG,The legendary diva who sang with the graceful harpists clearly presented {} with lots of fanfare.,herself,0.19551040069554312
2,Reflexive,PL,PL,The legendary diva who sang with the graceful harpists clearly presented {} with lots of fanfare.,themselves,8.193569166356694
3,Verbal,SG,SG,The nice beautician who advised the beauty queen probably {} happy about having more business.,was,1.8438675334305241
3,Verbal,SG,PL,The nice beautician who advised the beauty queen probably {} happy about having more business.,were,12.066721228077093
3,Verbal,PL,SG,The nice beautician who advised the beauty queens probably {} happy about having more business.,was,1.7306184544835388
3,Verbal,PL,PL,The nice beautician who advised the beauty queens probably {} happy about having more business.,were,9.219502483583872
3,Reflexive,SG,SG,The nice beautician who advised the beauty queen probably dabbed {} with imported French perfume.,herself,1.2565281701683075
3,Reflexive,SG,PL,The nice beautician who advised the beauty queen probably dabbed {} with imported French perfume.,themselves,8.502634679565807
3,Reflexive,PL,SG,The nice beautician who advised the beauty queens probably dabbed {} with imported French perfume.,herself,1.7307587253060959
3,Reflexive,PL,PL,The nice beautician who advised the beauty queens probably dabbed {} with imported French perfume.,themselves,4.384390567024366
4,Verbal,SG,SG,The talented hairdresser who worked with the friendly manicurist obviously {} popular with the regular customers.,was,1.3023205699863976
4,Verbal,SG,PL,The talented hairdresser who worked with the friendly manicurist obviously {} popular with the regular customers.,were,9.885786164513465
4,Verbal,PL,SG,The talented hairdresser who worked with the friendly manicurists obviously {} popular with the regular customers.,was,1.215768147743793
4,Verbal,PL,PL,The talented hairdresser who worked with the friendly manicurists obviously {} popular with the regular customers.,were,9.444873784331426
4,Reflexive,SG,SG,The talented hairdresser who worked with the friendly manicurist obviously cut {} with some rusty scissors.,herself,4.425037669911388
4,Reflexive,SG,PL,The talented hairdresser who worked with the friendly manicurist obviously cut {} with some rusty scissors.,themselves,8.964569260691443
4,Reflexive,PL,SG,The talented hairdresser who worked with the friendly manicurists obviously cut {} with some rusty scissors.,herself,5.02327943974653
4,Reflexive,PL,PL,The talented hairdresser who worked with the friendly manicurists obviously cut {} with some rusty scissors.,themselves,6.522541621418844
5,Verbal,SG,SG,The artsy florist who helped the elegant designer unfortunately {} distraught over an upcoming funeral.,was,0.7057696629199185
5,Verbal,SG,PL,The artsy florist who helped the elegant designer unfortunately {} distraught over an upcoming funeral.,were,11.25311341468704
5,Verbal,PL,SG,The artsy florist who helped the elegant designers unfortunately {} distraught over an upcoming funeral.,was,0.8272416740105949
5,Verbal,PL,PL,The artsy florist who helped the elegant designers unfortunately {} distraught over an upcoming funeral.,were,10.861407111753099
5,Reflexive,SG,SG,The artsy florist who helped the elegant designer unfortunately nicked {} on a rose thorn.,herself,1.8720935007410955
5,Reflexive,SG,PL,The artsy florist who helped the elegant designer unfortunately nicked {} on a rose thorn.,themselves,9.80596279244392
5,Reflexive,PL,SG,The artsy florist who helped the elegant designers unfortunately nicked {} on a rose thorn.,herself,1.413162387653894
5,Reflexive,PL,PL,The artsy florist who helped the elegant designers unfortunately nicked {} on a rose thorn.,themselves,5.806078107586265
6,Verbal,SG,SG,The nimble gymnast who studied with the female coach certainly {} unable to make a graceful landing.,was,0.287572917765832
6,Verbal,SG,PL,The nimble gymnast who studied with the female coach certainly {} unable to make a graceful landing.,were,11.474865514258651
6,Verbal,PL,SG,The nimble gymnast who studied with the female coaches certainly {} unable to make a graceful landing.,was,0.24958536798622852
6,Verbal,PL,PL,The nimble gymnast who studied with the female coaches certainly {} unable to make a graceful landing.,were,11.098376171924627
6,Reflexive,SG,SG,The nimble gymnast who studied with the female coach certainly bruised {} on the uneven bars.,herself,2.0217162655109213
6,Reflexive,SG,PL,The nimble gymnast who studied with the female coach certainly bruised {} on the uneven bars.,themselves,10.16552412772826
6,Reflexive,PL,SG,The nimble gymnast who studied with the female coaches certainly bruised {} on the uneven bars.,herself,2.0253252946704863
6,Reflexive,PL,PL,The nimble gymnast who studied with the female coaches certainly bruised {} on the uneven bars.,themselves,7.617610806182319
7,Verbal,SG,SG,The midwife who attended to the expectant mothers probably {} committed promoting natural childbirth.,was,1.7327865409269392
7,Verbal,SG,PL,The midwife who attended to the expectant mother probably {} committed to promoting natural childbirth.,were,9.147822944606375
7,Verbal,PL,SG,The midwife who attended to the expectant mothers probably {} committed to promoting natural childbirth.,was,0.5185576359931666
7,Verbal,PL,PL,The midwife who attended to the expectant mothers probably {} committed to promoting natural childbirth.,were,6.990284124917477
7,Reflexive,SG,SG,The midwife who attended to the expectant mother probably supported {} with private childbirth consultations.,herself,5.1947291449914434
7,Reflexive,SG,PL,The midwife who attended to the expectant mother probably supported {} with private childbirth consultations.,themselves,11.866516898535435
7,Reflexive,PL,SG,The midwife who attended to the expectant mothers probably supported {} with private childbirth consultations.,herself,8.781846538801652
7,Reflexive,PL,PL,The midwife who attended to the expectant mothers probably supported {} with private childbirth consultations.,themselves,6.492650058291667
8,Verbal,SG,SG,The new mother who interviewed the teenage babysitters definitely {} careful careful to do a full background check.,was,0.6078220045607068
8,Verbal,SG,PL,The new mother who interviewed the teenage babysitter definitely {} careful to do a full background check.,were,11.429731866084575
8,Verbal,PL,SG,The new mother who interviewed the teenage babysitters definitely {} careful to do a full background check.,was,0.06759094501347909
8,Verbal,PL,PL,The new mother who interviewed the teenage babysitters definitely {} careful to do a full background check.,were,11.244605862218613
8,Reflexive,SG,SG,The new mother who interviewed the teenage babysitter definitely stressed {} out in the process.,herself,0.50582436366082
8,Reflexive,SG,PL,The new mother who interviewed the teenage babysitter definitely stressed {} out in the process.,themselves,8.452194786800447
8,Reflexive,PL,SG,The new mother who interviewed the teenage babysitters definitely stressed {} out in the process.,herself,0.4435545210363389
8,Reflexive,PL,PL,The new mother who interviewed the teenage babysitters definitely stressed {} out in the process.,themselves,5.732912588047556
9,Verbal,SG,SG,The quick typist who assisted the female lawyer clearly {} doubtful of the quality of the office computers.,was,0.11984777602374402
9,Verbal,SG,PL,The quick typist who assisted the female lawyer clearly {} doubtful of the quality of the office computers.,were,11.637264616540083
9,Verbal,PL,SG,The quick typist who assisted the female lawyers clearly {} doubtful of the quality of the office computers.,was,0.12318397806513844
9,Verbal,PL,PL,The quick typist who assisted the female lawyers clearly {} doubtful of the quality of the office computers.,were,11.168758774881976
9,Reflexive,SG,SG,The quick typist who assisted the female lawyer clearly trusted {} to organize the office.,herself,6.235851249555761
9,Reflexive,SG,PL,The quick typist who assisted the female lawyer clearly trusted {} to organize the office.,themselves,14.389949092127637
9,Reflexive,PL,SG,The quick typist who assisted the female lawyers clearly trusted {} to organize the office.,herself,5.821525859047731
9,Reflexive,PL,PL,The quick typist who assisted the female lawyers clearly trusted {} to organize the office.,themselves,8.574394273332361
10,Verbal,SG,SG,The stern librarian who glared at the little girls probably {} irritated irritated about the unruly visitors.,was,1.4949234756522003
10,Verbal,SG,PL,The stern librarian who glared at the little girl probably {} irritated about the unruly visitors.,were,11.618016576443505
10,Verbal,PL,SG,The stern librarian who glared at the little girls probably {} irritated about the unruly visitors.,was,1.0196964399226909
10,Verbal,PL,PL,The stern librarian who glared at the little girls probably {} irritated about the unruly visitors.,were,11.26400949855231
