Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.362307166438226
1,SBJ-Mismatch,"While she was taking the orders,",Michael,10.508530116619676
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,10.579167376236082
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,11.463215777700826
2,SBJ-Match,"After he had read the report,",Michael,9.93955324953481
2,SBJ-Mismatch,"After she had read the report,",Michael,10.853470322288594
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,11.02813890372744
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.474266775066393
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.66535558044499
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,10.973697429791137
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,10.406964333104614
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,10.825418809525383
4,SBJ-Match,"While he was moving into the building,",Michael,9.711321310282722
4,SBJ-Mismatch,"While she was moving into the building,",Michael,10.05373505563566
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,10.659503453272219
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,11.510254549646376
5,SBJ-Match,"When he got caught stealing,",Michael,12.090894867686176
5,SBJ-Mismatch,"When she got caught stealing,",Michael,12.4832365545439
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,13.427305323944433
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,15.3834249081828
6,SBJ-Match,"While he prepared the presentation,",Michael,8.96519465784779
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,10.967047094438504
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,11.136375363215395
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,12.386797764062255
7,SBJ-Match,"After he turned up the volume,",Michael,10.471690886396226
7,SBJ-Mismatch,"After she turned up the volume,",Michael,10.609418123085309
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,10.3054034218512
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,10.371121202522728
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,12.062267627647753
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,12.983875746529078
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,14.767423905068476
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,16.319357075238127
9,SBJ-Match,"While he struggled through the script,",Jonathan,11.851212349139498
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,12.912424342541824
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,13.04854114208946
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,13.95048709588653
10,SBJ-Match,"When he was off duty,",Jonathan,13.115025375105382
10,SBJ-Mismatch,"When she was off duty,",Jonathan,13.859427008007968
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.660425739256466
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,14.358930913533088
11,SBJ-Match,"After he got up to dance,",Jonathan,13.841294478952884
11,SBJ-Mismatch,"After she got up to dance,",Jonathan,13.949854087499384
11,OBJ-Match,"After he got up to dance, several guests teased",Jonathan,12.939496021449653
11,OBJ-Mismatch,"After she got up to dance, several guests teased",Jonathan,14.655939150660542
12,SBJ-Match,"After he posted the video,",Jonathan,14.565325709583547
12,SBJ-Mismatch,"After she posted the video,",Jonathan,14.254331830125185
12,OBJ-Match,"After he posted the video, a few mean commentors humiliated",Jonathan,14.723597963772926
12,OBJ-Mismatch,"After she posted the video, a few mean commentors humiliated",Jonathan,15.779865855858322
13,SBJ-Match,"While he weighed the jewellery,",Jonathan,12.988244340002954
13,SBJ-Mismatch,"While she weighed the jewellery,",Jonathan,13.832579403940994
13,OBJ-Match,"While he weighed the jewellery, a few customers asked",Jonathan,14.276661630618696
13,OBJ-Mismatch,"While she weighed the jewellery, a few customers asked",Jonathan,16.205568962070952
14,SBJ-Match,"When he arrived at football practice,",Jonathan,12.223829751169339
14,SBJ-Mismatch,"When she arrived at football practice,",Jonathan,12.845190387519317
14,OBJ-Match,"When he arrived at football practice, some of the players waved to",Jonathan,15.856523673258868
14,OBJ-Mismatch,"When she arrived at football practice, some of the players waved to",Jonathan,17.002895996851517
15,SBJ-Match,"After she put out the campfire,",Jessica,10.844081467283571
15,SBJ-Mismatch,"After he put out the campfire,",Jessica,13.41831174872828
15,OBJ-Match,"After she put out the campfire, some of the schoolboys dared",Jessica,12.59033391786005
15,OBJ-Mismatch,"After he put out the campfire, some of the schoolboys dared",Jessica,15.802208138126286
16,SBJ-Match,"After she had resigned,",Jessica,11.733669531099611
16,SBJ-Mismatch,"After he had resigned,",Jessica,15.043385001383415
16,OBJ-Match,"After she had resigned, multiple lobbyists discouraged",Jessica,12.768328065094186
16,OBJ-Mismatch,"After he had resigned, multiple lobbyists discouraged",Jessica,15.584200474897486
