Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.147946038022445
1,SBJ-Mismatch,"While she was taking the orders,",Michael,11.337433426525537
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,11.779302553932366
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,14.34324968593067
2,SBJ-Match,"After he had read the report,",Michael,8.911564995296319
2,SBJ-Mismatch,"After she had read the report,",Michael,14.080620986576333
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,9.255727135437576
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.594044062166422
3,SBJ-Match,"As soon as he arrived at the station,",Michael,9.682852542074103
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,13.683561842241694
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,10.163682710415163
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,14.195928471420068
4,SBJ-Match,"While he was moving into the building,",Michael,9.53627620689669
4,SBJ-Mismatch,"While she was moving into the building,",Michael,12.533383170018224
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,10.435764551238737
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,13.09218732177063
5,SBJ-Match,"When he got caught stealing,",Michael,8.54901495594422
5,SBJ-Mismatch,"When she got caught stealing,",Michael,13.901314079224923
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,12.828424756419459
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,18.566530442255047
6,SBJ-Match,"While he prepared the presentation,",Michael,8.30898367778424
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,12.913405669476006
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,11.529272619567795
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,12.751258640798842
7,SBJ-Match,"After he turned up the volume,",Michael,9.62826548982023
7,SBJ-Mismatch,"After she turned up the volume,",Michael,12.327274913292145
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,9.228695921604771
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,10.51975536313561
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,10.369929109563973
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,14.508765501172066
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,11.521052553468856
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,16.648362479828588
9,SBJ-Match,"While he struggled through the script,",Jonathan,9.799298466346793
