Item,Condition,Context,Target
1,Constraint-Match,"Before offering him a fancy pastry,",Michael
1,Constraint-Mismatch,"Before offering her a fancy pastry,",Michael
1,NoConstraint-Match,"Before anyone offered him a fancy pastry,",Michael
1,NoConstraint-Mismatch,"Before anyone offered her a fancy pastry,",Michael
2,Constraint-Match,"While driving him to school on Friday,",Michael
2,Constraint-Mismatch,"While driving her to school on Friday,",Michael
2,NoConstraint-Match,"While a parent drove him to school on Friday,",Michael
2,NoConstraint-Mismatch,"While a parent drove her to school on Friday,",Michael
3,Constraint-Match,"While baking him some cookies,",Michael
3,Constraint-Mismatch,"While baking her some cookies,",Michael
3,NoConstraint-Match,"While an employee baked him some cookies,",Michael
3,NoConstraint-Mismatch,"While an employee baked her some cookies,",Michael
4,Constraint-Match,"After lifting him onto the bus,",Michael
4,Constraint-Mismatch,"After lifting her onto the bus,",Michael
4,NoConstraint-Match,"After an orderly lifted him onto the bus,",Michael
4,NoConstraint-Mismatch,"After an orderly lifted her onto the bus,",Michael
5,Constraint-Match,"Before interrogating him about the crime,",Michael
5,Constraint-Mismatch,"Before interrogating her about the crime,",Michael
5,NoConstraint-Match,"Before an officer interrogated him about the crime,",Michael
5,NoConstraint-Mismatch,"Before an officer interrogated her about the crime,",Michael
6,Constraint-Match,"After embarassing him during the party,",Michael
6,Constraint-Mismatch,"After embarassing her during the party,",Michael
6,NoConstraint-Match,"After a guest embarassed him during the party,",Michael
6,NoConstraint-Mismatch,"After a guest embarassed her during the party,",Michael
7,Constraint-Match,"While helping him shred the documents,",Jonathan
7,Constraint-Mismatch,"While helping her shred the documents,",Jonathan
7,NoConstraint-Match,"While an intern helped him shred the documents,",Jonathan
7,NoConstraint-Mismatch,"While an intern helped her shred the documents,",Jonathan
8,Constraint-Match,"While reading him a bedtime story,",Jonathan
8,Constraint-Mismatch,"While reading her a bedtime story,",Jonathan
8,NoConstraint-Match,"While someone read him a bedtime story,",Jonathan
8,NoConstraint-Mismatch,"While someone read her a bedtime story,",Jonathan
9,Constraint-Match,"After cornerning him next to the watercooler,",Jonathan
9,Constraint-Mismatch,"After cornerning her next to the watercooler,",Jonathan
9,NoConstraint-Match,"After a colleague cornerned him next to the watercooler,",Jonathan
9,NoConstraint-Mismatch,"After a colleague cornerned her next to the watercooler,",Jonathan
10,Constraint-Match,"After weighing him on the scale,",Jonathan
10,Constraint-Mismatch,"After weighing her on the scale,",Jonathan
10,NoConstraint-Match,"After a nurse weighed him on the scale,",Jonathan
10,NoConstraint-Mismatch,"After a nurse weighed her on the scale,",Jonathan
11,Constraint-Match,"Before spotting him at yoga class,",Jonathan
