Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.455842316311303
1,SBJ-Mismatch,"While she was taking the orders,",Michael,11.073011314418796
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,12.734354481473467
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,12.686669362218888
2,SBJ-Match,"After he had read the report,",Michael,10.341432199578627
2,SBJ-Mismatch,"After she had read the report,",Michael,11.187386794463423
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,13.126008510055527
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,13.866322028969066
3,SBJ-Match,"As soon as he arrived at the station,",Michael,11.34995274958612
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,12.085251287090067
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,12.734449333185543
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,13.462157645246455
4,SBJ-Match,"While he was moving into the building,",Michael,9.675363589476289
4,SBJ-Mismatch,"While she was moving into the building,",Michael,10.847292276556445
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,12.0120147235681
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,12.636825184393924
5,SBJ-Match,"When he got caught stealing,",Michael,10.273690773550687
5,SBJ-Mismatch,"When she got caught stealing,",Michael,11.24336509169663
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,12.533053645785209
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,13.243206304480827
6,SBJ-Match,"While he prepared the presentation,",Michael,10.020328149309544
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,10.910768400340414
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,12.767977315513322
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,13.645944904000004
7,SBJ-Match,"After he turned up the volume,",Michael,11.051723856644875
7,SBJ-Mismatch,"After she turned up the volume,",Michael,11.735195202240535
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,12.327566888480257
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,13.174564170888443
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,12.851747335698509
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,14.083976239873897
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,15.07644246512481
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,16.231108176412047
9,SBJ-Match,"While he struggled through the script,",Jonathan,10.59481827623613
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,12.031411948858855
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,12.00688340428141
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,12.761480822718694
10,SBJ-Match,"When he was off duty,",Jonathan,12.878299867337875
10,SBJ-Mismatch,"When she was off duty,",Jonathan,13.585117766413923
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.859800713703082
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,14.513244751828784
11,SBJ-Match,"After he got up to dance,",Jonathan,12.99003644511593
11,SBJ-Mismatch,"After she got up to dance,",Jonathan,13.584960651908844
11,OBJ-Match,"After he got up to dance, several guests teased",Jonathan,14.357849124492025
11,OBJ-Mismatch,"After she got up to dance, several guests teased",Jonathan,16.139789745422465
12,SBJ-Match,"After he posted the video,",Jonathan,13.12531332480029
12,SBJ-Mismatch,"After she posted the video,",Jonathan,13.578736552515462
12,OBJ-Match,"After he posted the video, a few mean commentors humiliated",Jonathan,14.550180452548213
12,OBJ-Mismatch,"After she posted the video, a few mean commentors humiliated",Jonathan,16.102463323752286
13,SBJ-Match,"While he weighed the jewellery,",Jonathan,14.477742112089729
13,SBJ-Mismatch,"While she weighed the jewellery,",Jonathan,15.995626752853669
13,OBJ-Match,"While he weighed the jewellery, a few customers asked",Jonathan,16.220102241594404
13,OBJ-Mismatch,"While she weighed the jewellery, a few customers asked",Jonathan,17.432360911422137
14,SBJ-Match,"When he arrived at football practice,",Jonathan,12.788420154071579
14,SBJ-Mismatch,"When she arrived at football practice,",Jonathan,14.345578116433664
14,OBJ-Match,"When he arrived at football practice, some of the players waved to",Jonathan,15.280653274823006
14,OBJ-Mismatch,"When she arrived at football practice, some of the players waved to",Jonathan,17.2159861665102
15,SBJ-Match,"After she put out the campfire,",Jessica,10.69416034340221
15,SBJ-Mismatch,"After he put out the campfire,",Jessica,12.693920226695674
15,OBJ-Match,"After she put out the campfire, some of the schoolboys dared",Jessica,17.488707356771435
15,OBJ-Mismatch,"After he put out the campfire, some of the schoolboys dared",Jessica,19.316851595871153
16,SBJ-Match,"After she had resigned,",Jessica,11.408558234957393
16,SBJ-Mismatch,"After he had resigned,",Jessica,13.980941263342917
16,OBJ-Match,"After she had resigned, multiple lobbyists discouraged",Jessica,14.483872941130324
16,OBJ-Mismatch,"After he had resigned, multiple lobbyists discouraged",Jessica,16.834470225509033
17,SBJ-Match,"As soon as she got back to school,",Jessica,10.047169012246012
17,SBJ-Mismatch,"As soon as he got back to school,",Jessica,12.564065407195656
17,OBJ-Match,"As soon as she got back to school, some students accused",Jessica,15.052703106334096
17,OBJ-Mismatch,"As soon as he got back to school, some students accused",Jessica,17.00857702469819
18,SBJ-Match,"When she came back from lunch,",Jessica,11.24091276172625
18,SBJ-Mismatch,"When he came back from lunch,",Jessica,13.251574539830848
18,OBJ-Match,"When she came back from lunch, some of the interns avoided",Jessica,15.32615783922914
18,OBJ-Mismatch,"When he came back from lunch, some of the interns avoided",Jessica,16.90914665352164
19,SBJ-Match,"As she was leaving the concert hall,",Jessica,11.16296827021857
19,SBJ-Mismatch,"As he was leaving the concert hall,",Jessica,13.304527745291658
19,OBJ-Match,"As she was leaving the concert hall, countless journalists questioned",Jessica,13.975829876687419
19,OBJ-Mismatch,"As he was leaving the concert hall, countless journalists questioned",Jessica,16.241687207732934
20,SBJ-Match,"While she waited for the bus,",Jessica,11.359557118861131
20,SBJ-Mismatch,"While he waited for the bus,",Jessica,13.272600286054537
20,OBJ-Match,"While she waited for the bus, various commuters warned",Jessica,15.028924687580936
20,OBJ-Mismatch,"While he waited for the bus, various commuters warned",Jessica,17.01333011358374
21,SBJ-Match,"When she entered the church,",Jessica,11.613437934876298
21,SBJ-Mismatch,"When he entered the church,",Jessica,14.984154350040287
21,OBJ-Match,"When she entered the church, a handful of churchgoers criticized",Jessica,15.340377927656128
21,OBJ-Mismatch,"When he entered the church, a handful of churchgoers criticized",Jessica,17.781110298435497
22,SBJ-Match,"After she heard the verdict,",Rachel,10.90951844234852
22,SBJ-Mismatch,"After he heard the verdict,",Rachel,14.204363777635475
22,OBJ-Match,"After she heard the verdict, a number of supporters consoled",Rachel,13.642352023865536
22,OBJ-Mismatch,"After he heard the verdict, a number of supporters consoled",Rachel,16.14478742505313
23,SBJ-Match,"After she had finished cooking,",Rachel,11.672166429201484
23,SBJ-Mismatch,"After he had finished cooking,",Rachel,13.272268855591232
23,OBJ-Match,"After she had finished cooking, a few friends helped",Rachel,12.655692712698526
23,OBJ-Mismatch,"After he had finished cooking, a few friends helped",Rachel,15.398226151765206
24,SBJ-Match,"After she had spoken,",Rachel,11.2890702103482
24,SBJ-Mismatch,"After he had spoken,",Rachel,13.013238640304225
24,OBJ-Match,"After she had spoken, seven guards escorted",Rachel,12.626496382795848
24,OBJ-Mismatch,"After he had spoken, seven guards escorted",Rachel,14.601580256808909
25,SBJ-Match,"While she waited backstage,",Rachel,11.862762104454301
25,SBJ-Mismatch,"While he waited backstage,",Rachel,13.467864675293225
25,OBJ-Match,"While she waited backstage, several models congratulated",Rachel,12.308908150674524
25,OBJ-Mismatch,"While he waited backstage, several models congratulated",Rachel,13.85151612516965
26,SBJ-Match,"While she was mowing the lawn,",Rachel,11.425949225229807
26,SBJ-Mismatch,"While he was mowing the lawn,",Rachel,13.335297850139993
26,OBJ-Match,"While she was mowing the lawn, a number of neighbors waved at",Rachel,14.893737556472532
26,OBJ-Mismatch,"While he was mowing the lawn, a number of neighbors waved at",Rachel,17.038281925850804
27,SBJ-Match,"After she was elected,",Rachel,11.035964669099812
27,SBJ-Mismatch,"After he was elected,",Rachel,14.03504014675205
27,OBJ-Match,"After she was elected, many other politicians convinced",Rachel,13.590433611761071
27,OBJ-Mismatch,"After he was elected, many other politicians convinced",Rachel,15.639889552656532
28,SBJ-Match,"When she got to the construction site,",Rachel,11.996282058375336
28,SBJ-Mismatch,"When he got to the construction site,",Rachel,14.711470277869818
28,OBJ-Match,"When she got to the construction site, a lot of workers approached",Rachel,14.872073512174191
28,OBJ-Mismatch,"When he got to the construction site, a lot of workers approached",Rachel,16.937894391293266
