Item,Condition,Context,Target,Surprisal
1,SBJ-Match,"While he was taking the orders,",Michael,10.362306061037359
1,SBJ-Mismatch,"While she was taking the orders,",Michael,10.508530361282224
1,OBJ-Match,"While he was taking the orders, a couple of customers annoyed",Michael,10.579145279582008
1,OBJ-Mismatch,"While she was taking the orders, a couple of customers annoyed",Michael,11.463200603557835
2,SBJ-Match,"After he had read the report,",Michael,9.939549621173827
2,SBJ-Mismatch,"After she had read the report,",Michael,10.853466748720116
2,OBJ-Match,"After he had read the report, a couple of employees accompanied",Michael,11.028117859481371
2,OBJ-Mismatch,"After she had read the report, a couple of employees accompanied",Michael,12.474242883228035
3,SBJ-Match,"As soon as he arrived at the station,",Michael,10.66535244373769
3,SBJ-Mismatch,"As soon as she arrived at the station,",Michael,10.973695909911989
3,OBJ-Match,"As soon as he arrived at the station, multiple investigators interrogated",Michael,10.406941872266385
3,OBJ-Mismatch,"As soon as she arrived at the station, multiple investigators interrogated",Michael,10.82540265724303
4,SBJ-Match,"While he was moving into the building,",Michael,9.711321873458244
4,SBJ-Mismatch,"While she was moving into the building,",Michael,10.053729343353902
4,OBJ-Match,"While he was moving into the building, a group of tenants informed",Michael,10.659487425817462
4,OBJ-Mismatch,"While she was moving into the building, a group of tenants informed",Michael,11.510240342317992
5,SBJ-Match,"When he got caught stealing,",Michael,12.090890654856294
5,SBJ-Mismatch,"When she got caught stealing,",Michael,12.483233188801563
5,OBJ-Match,"When he got caught stealing, all of the fifth-graders promised",Michael,13.42726670263301
5,OBJ-Mismatch,"When she got caught stealing, all of the fifth-graders promised",Michael,15.383390696713109
6,SBJ-Match,"While he prepared the presentation,",Michael,8.965192811133994
6,SBJ-Mismatch,"While she prepared the presentation,",Michael,10.967044909154689
6,OBJ-Match,"While he prepared the presentation, a number of colleagues lectured",Michael,11.13636137483841
6,OBJ-Mismatch,"While she prepared the presentation, a number of colleagues lectured",Michael,12.386783934914964
7,SBJ-Match,"After he turned up the volume,",Michael,10.471682777617664
7,SBJ-Mismatch,"After she turned up the volume,",Michael,10.609414974477664
7,OBJ-Match,"After he turned up the volume, some of the dancers signaled to",Michael,10.305395239469645
7,OBJ-Mismatch,"After she turned up the volume, some of the dancers signaled to",Michael,10.37111419583517
8,SBJ-Match,"As he walked out of the exhibition,",Jonathan,12.06226753786373
8,SBJ-Mismatch,"As she walked out of the exhibition,",Jonathan,12.983878637742233
8,OBJ-Match,"As he walked out of the exhibition, a group of tourists asked",Jonathan,14.767403705211063
8,OBJ-Mismatch,"As she walked out of the exhibition, a group of tourists asked",Jonathan,16.319330358340412
9,SBJ-Match,"While he struggled through the script,",Jonathan,11.851213590178032
9,SBJ-Mismatch,"While she struggled through the script,",Jonathan,12.912421105478112
9,OBJ-Match,"While he struggled through the script, members of the cast complained to",Jonathan,13.048533227000542
9,OBJ-Mismatch,"While she struggled through the script, members of the cast complained to",Jonathan,13.950481611944138
10,SBJ-Match,"When he was off duty,",Jonathan,13.11502081183582
10,SBJ-Mismatch,"When she was off duty,",Jonathan,13.859428568164546
10,OBJ-Match,"When he was off duty, some of the investigators contacted",Jonathan,13.660418807684554
10,OBJ-Mismatch,"When she was off duty, some of the investigators contacted",Jonathan,14.358909519033935
11,SBJ-Match,"After he got up to dance,",Jonathan,13.841292938284097
11,SBJ-Mismatch,"After she got up to dance,",Jonathan,13.949852094210886
11,OBJ-Match,"After he got up to dance, several guests teased",Jonathan,12.939481178801188
11,OBJ-Mismatch,"After she got up to dance, several guests teased",Jonathan,14.655907852467006
12,SBJ-Match,"After he posted the video,",Jonathan,14.565323291964459
12,SBJ-Mismatch,"After she posted the video,",Jonathan,14.25432854792068
12,OBJ-Match,"After he posted the video, a few mean commentors humiliated",Jonathan,14.72355422934312
12,OBJ-Mismatch,"After she posted the video, a few mean commentors humiliated",Jonathan,15.77981506699932
13,SBJ-Match,"While he weighed the jewellery,",Jonathan,12.988242634134352
13,SBJ-Mismatch,"While she weighed the jewellery,",Jonathan,13.832575269191913
13,OBJ-Match,"While he weighed the jewellery, a few customers asked",Jonathan,14.276653609635428
13,OBJ-Mismatch,"While she weighed the jewellery, a few customers asked",Jonathan,16.20556777214994
14,SBJ-Match,"When he arrived at football practice,",Jonathan,12.223828144398826
14,SBJ-Mismatch,"When she arrived at football practice,",Jonathan,12.845190387519317
14,OBJ-Match,"When he arrived at football practice, some of the players waved to",Jonathan,15.856462328007682
14,OBJ-Mismatch,"When she arrived at football practice, some of the players waved to",Jonathan,17.002845247081193
15,SBJ-Match,"After she put out the campfire,",Jessica,10.844078843083095
15,SBJ-Mismatch,"After he put out the campfire,",Jessica,13.418310369741619
15,OBJ-Match,"After she put out the campfire, some of the schoolboys dared",Jessica,12.590314756704739
15,OBJ-Mismatch,"After he put out the campfire, some of the schoolboys dared",Jessica,15.802178298598887
16,SBJ-Match,"After she had resigned,",Jessica,11.733674106844948
16,SBJ-Mismatch,"After he had resigned,",Jessica,15.043379684400314
16,OBJ-Match,"After she had resigned, multiple lobbyists discouraged",Jessica,12.768314004180128
16,OBJ-Mismatch,"After he had resigned, multiple lobbyists discouraged",Jessica,15.584196220580859
17,SBJ-Match,"As soon as she got back to school,",Jessica,11.678696406073032
17,SBJ-Mismatch,"As soon as he got back to school,",Jessica,13.314213922026319
17,OBJ-Match,"As soon as she got back to school, some students accused",Jessica,12.73067010909016
17,OBJ-Mismatch,"As soon as he got back to school, some students accused",Jessica,15.429580717325454
18,SBJ-Match,"When she came back from lunch,",Jessica,11.667598980919161
18,SBJ-Mismatch,"When he came back from lunch,",Jessica,13.23362436195093
18,OBJ-Match,"When she came back from lunch, some of the interns avoided",Jessica,13.53604040575473
18,OBJ-Mismatch,"When he came back from lunch, some of the interns avoided",Jessica,15.367129793305441
19,SBJ-Match,"As she was leaving the concert hall,",Jessica,10.854729235180303
19,SBJ-Mismatch,"As he was leaving the concert hall,",Jessica,13.15613500229563
19,OBJ-Match,"As she was leaving the concert hall, countless journalists questioned",Jessica,13.957740794836523
19,OBJ-Mismatch,"As he was leaving the concert hall, countless journalists questioned",Jessica,16.949921196486013
20,SBJ-Match,"While she waited for the bus,",Jessica,10.38645263717069
20,SBJ-Mismatch,"While he waited for the bus,",Jessica,12.84475141200006
20,OBJ-Match,"While she waited for the bus, various commuters warned",Jessica,12.958575458300427
20,OBJ-Mismatch,"While he waited for the bus, various commuters warned",Jessica,15.391372021508948
21,SBJ-Match,"When she entered the church,",Jessica,11.369987118331103
21,SBJ-Mismatch,"When he entered the church,",Jessica,13.632561785354822
21,OBJ-Match,"When she entered the church, a handful of churchgoers criticized",Jessica,13.758275585402155
21,OBJ-Mismatch,"When he entered the church, a handful of churchgoers criticized",Jessica,16.64653639935703
22,SBJ-Match,"After she heard the verdict,",Rachel,10.63375570329532
22,SBJ-Mismatch,"After he heard the verdict,",Rachel,13.732044915228135
22,OBJ-Match,"After she heard the verdict, a number of supporters consoled",Rachel,12.7081021332385
22,OBJ-Mismatch,"After he heard the verdict, a number of supporters consoled",Rachel,14.420519472047376
23,SBJ-Match,"After she had finished cooking,",Rachel,10.006644952843736
23,SBJ-Mismatch,"After he had finished cooking,",Rachel,11.883591942407358
23,OBJ-Match,"After she had finished cooking, a few friends helped",Rachel,13.016235279052415
23,OBJ-Mismatch,"After he had finished cooking, a few friends helped",Rachel,15.60784533112684
24,SBJ-Match,"After she had spoken,",Rachel,10.805194761154036
24,SBJ-Mismatch,"After he had spoken,",Rachel,12.435569970657063
24,OBJ-Match,"After she had spoken, seven guards escorted",Rachel,12.380431951944606
24,OBJ-Mismatch,"After he had spoken, seven guards escorted",Rachel,14.95449544609903
25,SBJ-Match,"While she waited backstage,",Rachel,10.052281652373457
25,SBJ-Mismatch,"While he waited backstage,",Rachel,12.640666382476502
25,OBJ-Match,"While she waited backstage, several models congratulated",Rachel,11.244845605450887
25,OBJ-Mismatch,"While he waited backstage, several models congratulated",Rachel,13.678530414919656
26,SBJ-Match,"While she was mowing the lawn,",Rachel,10.028712565338223
26,SBJ-Mismatch,"While he was mowing the lawn,",Rachel,12.36910823554907
26,OBJ-Match,"While she was mowing the lawn, a number of neighbors waved at",Rachel,13.223599398709828
26,OBJ-Mismatch,"While he was mowing the lawn, a number of neighbors waved at",Rachel,16.50919452835015
27,SBJ-Match,"After she was elected,",Rachel,10.762573528907128
27,SBJ-Mismatch,"After he was elected,",Rachel,14.325963588130138
27,OBJ-Match,"After she was elected, many other politicians convinced",Rachel,13.509460378741801
27,OBJ-Mismatch,"After he was elected, many other politicians convinced",Rachel,16.054212021687714
28,SBJ-Match,"When she got to the construction site,",Rachel,12.053464996556986
28,SBJ-Mismatch,"When he got to the construction site,",Rachel,14.388720068098134
28,OBJ-Match,"When she got to the construction site, a lot of workers approached",Rachel,14.998793186680931
28,OBJ-Mismatch,"When he got to the construction site, a lot of workers approached",Rachel,17.185348597531252
